roundabout_id,osm_way_ids,latitude,longitude,municipality,city_code
0,"[3979160, 1034635570, 1058611428, 1058611429, 1058611447]",38.972460140909085,-9.41953839090909,Mafra,MFR
1,"[4044459, 1230042017, 1235876203, 1235876213, 1235876214, 1336970979]",38.73591420434782,-9.298474026086959,Oeiras,OER
2,"[4044461, 1277694937, 1277694938, 1277694981, 1285367888, 1285367889, 1285367920, 1285367921]",38.750932283870966,-9.30604253548387,Oeiras,OER
3,"[4048425, 1058717149, 1058724299, 1058724300, 1346976901, 1346976911]",38.983324104,-9.417741536,Mafra,MFR
4,"[4215045, 1013414761]",38.649237286363636,-9.171587486363636,Almada,ALM
5,"[4215047, 1070116444]",38.646797035,-9.168991465000001,Almada,ALM
6,"[4359771, 1005096374, 1005096383, 1005096384, 1008781339, 1008788465]",38.79012542500001,-9.195436045833333,Odivelas,ODV
7,"[4359810, 1005096369, 1005096370, 1005096371, 1008326866, 1008349601]",38.78982093684211,-9.209720615789474,Odivelas,ODV
8,"[4717895, 629108074, 629108075, 629145183, 681511475, 682189362]",38.7750412,-9.09725405882353,Lisboa,LSB
9,[4718178],38.947127269444444,-8.49963365,Coruche,CCH
10,"[4941136, 1290418458, 1317255405, 1317255406, 1325486162, 1326089633]",38.835116895238095,-9.35608645714286,Sintra,SNT
11,"[4976665, 628668967, 628668968, 628671047, 683143591]",38.72795502105264,-9.124136665789473,Lisboa,LSB
12,"[4986985, 682709533, 698908231, 736283850, 1086829422, 1370741485]",38.742888625,-9.0998279525,Lisboa,LSB
13,"[5003398, 1031704020, 1031704021, 1031704022, 1053187611, 1053187613, 1058590153, 1058590160, 1329345293]",38.9500371875,-9.3306650875,Mafra,MFR
14,"[5042167, 204126752, 204126753, 568586139, 568586142, 568586317, 1346433908]",32.6500971,-16.94286760769231,Funchal,FNC
15,"[8039096, 683831619, 686463869]",38.74880903999999,-9.188226153333336,Lisboa,LSB
16,"[8110844, 1346976908, 1346976909, 1346976910]",38.97714777727273,-9.41226014090909,Mafra,MFR
17,[8312357],39.69533279230769,-8.302231392307693,Ferreira do Zêzere,FZZ
18,"[8493048, 680802267, 680802268, 1020360187, 1020360202, 1020360203, 1330475068]",38.64855612380952,-9.046444557142857,Barreiro,BRR
19,[8494703],38.65910902,-9.045788275,Moita,MTA
20,"[8875432, 1378877323]",41.19250569545454,-8.669812904545454,Matosinhos,MTS
21,"[10308547, 1016567863, 1016567864, 1016567865, 1016567866, 1016567867]",41.20306992272727,-8.663832286363636,Matosinhos,MTS
22,"[10367710, 157870964, 157870968, 157870988, 527067597, 678612146, 1054260395, 1233794119]",37.111308637499995,-8.681104420833334,Lagos,LGS
23,"[10367711, 464987610, 678612133, 678612136, 678612140, 678612144, 1054260396, 1054260397]",37.114371052173915,-8.680694704347827,Lagos,LGS
24,"[10527057, 1058724294, 1274544541, 1274544548, 1274544549, 1332093610, 1345285124]",38.940194709523794,-9.34826406190476,Mafra,MFR
25,[12139861],41.98488242173914,-8.65904235217391,Valença,VLN
26,"[12189505, 778720865, 778720866, 778720867, 1370421200, 1370421201]",39.63448851764706,-8.683814923529411,Ourém,ORM
27,"[12294186, 434896887, 434897746, 901160470, 901160471, 1010326123, 1010329173, 1307028799, 1307028800]",41.167832871428566,-8.688616382857141,Porto,PRT
28,"[12296720, 734260455, 734260456, 1006963519, 1007088655, 1284174054, 1284185938, 1284191785]",41.148526874285714,-8.653748734285715,Porto,PRT
29,"[12303132, 1007088657, 1007088658, 1007088659, 1007112727, 1106585343]",41.17331778260869,-8.688719147826085,Porto,PRT
30,[12388490],41.15804715,-8.5615316375,Gondomar,GDM
31,"[12542493, 1009285788, 1009285789, 1009285790, 1010030170, 1010030171, 1012847546, 1012847547]",41.180583559999995,-8.682196889999998,Matosinhos,MTS
32,"[12698170, 1328751291, 1328751292, 1328751293, 1328751294]",40.18503054230769,-8.397356023076922,Coimbra,CBR
33,"[12699203, 1328756362, 1328756363, 1328756364, 1328756365, 1328756366, 1328756367, 1328756368]",40.19007979444444,-8.40031216111111,Coimbra,CBR
34,"[12699523, 1327472443, 1327472444, 1327472445, 1327472446, 1327472447, 1327472448, 1327472449]",40.1937845590909,-8.398416354545455,Coimbra,CBR
35,[12718023],40.201798544000006,-8.399944632,Coimbra,CBR
36,"[13412561, 1070116434, 1070116442, 1339461863]",38.660512264,-9.17744782,Almada,ALM
37,"[13703488, 1016567879, 1016567880, 1016567881, 1016567882, 1016567883]",41.15779458181818,-8.645419854545453,Porto,PRT
38,[13790845],40.21348360999999,-8.41346393,Coimbra,CBR
39,"[13798688, 13798716, 13798768, 13798803, 1226241542]",41.174529810526316,-8.613452252631578,Porto,PRT
40,[13854500],39.87296083913043,-8.965839447826086,Marinha Grande,MGR
41,[14381434],40.206861442857154,-8.4200501,Coimbra,CBR
42,[14399609],40.20491761071429,-8.404155257142857,Coimbra,CBR
43,[14400199],40.202722615,-8.40418183,Coimbra,CBR
44,[14482746],40.20331470454545,-8.41029504090909,Coimbra,CBR
45,"[14487757, 1005096377, 1005096378, 1005096379]",38.78433385416667,-9.191755954166666,Odivelas,ODV
46,"[14512397, 1275025304, 1275025305, 1275025340]",38.78184891363637,-9.376406886363638,Sintra,SNT
