municipios
Município;Código de três letras;População em 2021;Area em km^2;
Abrantes;ABT;34 351;714,69;
Águeda;AGD;46 134;335;
Aguiar da Beira;AGB;5228;206,75;
Alandroal;ADL;5007;542,68;
Albergaria-a-Velha;ALB;24 841;158,830;
Albufeira;ABF;44 158;140,66;
Alcácer do Sal;ASL;11 125;1499,87;
Alcanena;ACN;12 478;127,33;
Alcobaça;ACB;54 981;408,14;
Alcochete;ACH;19 148;128,36;
Alcoutim;ACT;2521;575,36;
Alenquer;ALQ;44 428;304,22;
Alfândega da Fé;AFE;4321;321,95;
Alijó;ALJ;10 492;297,60;
Aljezur;AJZ;6046;323,50;
Aljustrel;AJT;8879;458,47;
Almada;ALM;177 400;70,21;
Almeida;ALD;5882;517,98;
Almeirim;ALR;22 033;222,12;
Almodôvar;ADV;6709;777,88;
Alpiarça;APC;6986;95,36;
Alter do Chão;ALT;3046;362,07;
Alvaiázere;AVZ;6227;160,48;
Alvito;AVT;2276;264,85;
Amadora;AMD;171 719;23,79;
Amarante;AMT;52 131;301,33;
Amares;AMR;18 591;81,95;
Anadia;AND;27 542;217;
Angra do Heroísmo;AGH;33 829;239;
Ansião;ANS;11 632;176,09;
Arcos de Valdevez;AVV;20 729;447,60;
Arganil;AGN;11 067;332,84;
Armamar;AMM;5680;117,24;
Arouca;ARC;21 154;329,11;
Arraiolos;ARL;6606;683,75;
Arronches;ARR;2789;314,65;
Arruda dos Vinhos;ARV;13 983;77,96;
Aveiro;AVR;80 880;197,58;
Avis;AVS;3813;605,97;
Azambuja;AZB;21 421;262,66;
Baião;BAO;17 527;174,53;
Barcelos;BCL;116 777;378,9;
Barrancos;BRC;1435;168,42;
Barreiro;BRR;78 362;36,39;
Batalha;BTL;15 553;103,42;
Beja;BJA;33 401;1106,44;
Belmonte;BMT;6204;118,76;
Benavente;BNV;29 747;521,38;
Bombarral;BBR;12 743;91,29;
Borba;BRB;6428;145,19;
Boticas;BTC;5002;321,96;
Braga;BRG;193 333;183,40;
Bragança;BGC;34 580;1173,57;
Cabeceiras de Basto;CBC;15 566;241,82;
Cadaval;CDV;13 382;174,89;
Caldas da Rainha;CLD;50 898;255,69;
Calheta  (Açores);CHT;3441;126,51;
Calheta  (Madeira);CLT;10 913;115,65;
Câmara de Lobos;CML;32 175;52,15;
Caminha;CMN;15 828;136,52;
Campo Maior;CMR;8045;247,20;
Cantanhede;CNT;34 218;390,88;
Carrazeda de Ansiães;CRZ;5494;279,24;
Carregal do Sal;CRS;9048;116,89;
Cartaxo;CTX;23 211;158,17;
Cascais;CSC;214 134;97,4;
Castanheira de Pera;CPR;2647;66,78;
Castelo Branco;CTB;52 272;1438,19;
Castelo de Paiva;CPV;15 597;115,01;
Castelo de Vide;CVD;3121;264,91;
Castro Daire;CDR;13 753;379,04;
Castro Marim;CTM;6434;300,84;
Castro Verde;CVR;6878;569,44;
Celorico da Beira;CLB;6582;247,22;
Celorico de Basto;CBT;17 666;181,07;
Chamusca;CHM;8536;746,01;
Chaves;CHV;37 623;591,23;
Cinfães;CNF;17 747;239,29;
Coimbra;CBR;140 796;319,40;
Condeixa-a-Nova;CDN;16 733;138,68;
Constância;CNS;3801;80,37;
Coruche;CCH;17 375;1115,72;
Corvo;CRV;386;17,13;
Covilhã;CVL;46 453;555,60;
Crato;CRT;3225;398,07;
Cuba;CBA;4374;172,09;
Elvas;ELV;20 753;631,29;
Entroncamento;ENT;20 140;13,73;
Espinho;ESP;31 027;21,06;
