Cidade	Sub-região	Região	População (2021)	Área (km2)	Densidade populacional
--------------------------	----------------------------	--------	----------------	----------	----------------------
Abrantes	Médio Tejo	Centro	16138	64,47	250
Agualva-Cacém	Área Metropolitana de Lisboa		81020	10,42	7775
Águeda	Região de Aveiro	Centro	13710	36,03	380
Albergaria-a-Velha	Região de Aveiro	Centro	11060	47	235
Albufeira	Algarve		28640	41,17	649
Alcácer do Sal	Alentejo Litoral	Alentejo	7733	888	8
Alcobaça	Oeste	Centro	7243	9,81	738
Alfena	Área Metropolitana do Porto	Norte	14439	15,70	919
Almada	Área Metropolitana de Lisboa		88202	13,98	6309
Almeirim	Lezíria do Tejo	Alentejo	12370	69,13	179
Alverca do Ribatejo	Área Metropolitana de Lisboa		36470	23,92	1525
Amadora	Área Metropolitana de Lisboa		171179	23,79	7195
Amarante	Tâmega e Sousa	Norte	11565	15,21	760
Amora	Área Metropolitana de Lisboa		49352	27,31	1807
Anadia	Região de Aveiro	Centro	6240	14,40	433
Angra do Heroísmo	Açores		11958	18,02	663
Aveiro	Região de Aveiro	Centro	58142	81,19	716
Barcelos	Cávado	Norte	14774	15,19	973
Barreiro	Área Metropolitana de Lisboa		63119	14,92	4230
Beja	Baixo Alentejo	Alentejo	24079	73,77	326
Borba	Alentejo Central	Alentejo	3391	41,52	81
Braga	Cávado	Norte	144362	61,38	2352
Bragança	Terras de Trás-os-Montes	Norte	22693	35,69	636
Caldas da Rainha	Oeste	Centro	30443	59,20	514
Câmara de Lobos	Madeira		16556	7,62	2173
Caniço	Madeira		24049	12	2004
Cantanhede	Região de Coimbra	Centro	8832	54,09	163
Cartaxo	Lezíria do Tejo	Alentejo	12302	28,23	436
Castelo Branco	Beira Baixa	Centro	34471	170,26	202
Chaves	Alto Tâmega	Norte	17207	33	521
Coimbra	Região de Coimbra	Centro	99792	94,65	1054
Costa da Caparica	Área Metropolitana de Lisboa		13972	10,18	1372
Covilhã	Beiras e Serra da Estrela	Centro	18220	25,95	702
Elvas	Alto Alentejo	Alentejo	14438	202,70	71
Entroncamento	Médio Tejo	Centro	20141	13,73	1467
Ermesinde	Área Metropolitana do Porto	Norte	39095	7,65	5110
Esmoriz	Região de Aveiro	Centro	11924	9,05	1317
Espinho	Área Metropolitana do Porto	Norte	10434	1,77	555
Esposende	Cávado	Norte	12267	17,31	709
Estarreja	Região de Aveiro	Centro	9914	31,85	311
Estremoz	Alentejo Central	Alentejo	7890	63,9	123
Évora	Alentejo Central	Alentejo	46966	112,06	183
Fafe	Ave	Norte	15456	7,97	1939
Faro	Algarve		46310	74,75	619
Fátima	Médio Tejo	Centro	13212	84,97	155
Felgueiras	Tâmega e Sousa	Norte	17695	17,44	015
Figueira da Foz	Região de Coimbra	Centro	31032	33,26	933
Fiães	Área Metropolitana do Porto	Norte	7097	6,58	1078
Freamunde	Tâmega e Sousa	Norte	7557	4,68	1618
Funchal	Madeira		105795	76,15	1389
Fundão	Beiras e Serra da Estrela	Centro	12641	57,83	221
Gafanha da Nazaré	Região de Aveiro	Centro	15553	16,44	946
