city,city_code,population_2021,area,roundabouts,rb_per_km2,rb_per_10k_inhabitants
Abrantes,ABT,34351,714.69,24,0.03358099315787264,6.986696166050479
Águeda,AGD,46134,335.0,67,0.2,14.522911518619674
Aguiar da Beira,AGB,5228,206.75,11,0.053204353083434096,21.040550879877582
Alandroal,ADL,5007,542.68,4,0.0073708262696248255,7.98881565807869
Albergaria-a-Velha,ALB,24841,158.83,46,0.289617830384688,18.517773036512217
Albufeira,ABF,44158,140.66,112,0.7962462675956207,25.363467548349107
Alcácer do Sal,ASL,11125,1499.87,17,0.01133431564068886,15.280898876404494
Alcanena,ACN,12478,127.33,19,0.14921856593104532,15.226799166533098
Alcobaça,ACB,54981,408.14,55,0.13475768118782772,10.00345573925538
Alcochete,ACH,19148,128.36,40,0.3116235587410408,20.889910173386255
Alcoutim,ACT,2521,575.36,5,0.008690211345939933,19.833399444664813
Alenquer,ALQ,44428,304.22,49,0.16106764841233318,11.029080759881156
Alfândega da Fé,AFE,4321,321.95,12,0.03727286845783507,27.7713492247165
Alijó,ALJ,10492,297.6,19,0.06384408602150538,18.109035455585207
Aljezur,AJZ,6046,323.5,13,0.0401854714064915,21.501819384717166
Aljustrel,AJT,8879,458.47,12,0.026174013566863698,13.515035476968128
Almada,ALM,177400,70.21,132,1.8800740635237148,7.440811724915445
Almeida,ALD,5882,517.98,15,0.02895864705200973,25.501530091805506
Almeirim,ALR,22033,222.12,32,0.14406627048442283,14.52366904189171
Almodôvar,ADV,6709,777.88,16,0.02056872525325243,23.84856163362647
Alpiarça,APC,6986,95.36,7,0.07340604026845637,10.020040080160319
Alter do Chão,ALT,3046,362.07,5,0.013809484353854228,16.414970453053186
Alvaiázere,AVZ,6227,160.48,17,0.10593220338983052,27.300465713826885
Alvito,AVT,2276,264.85,0,0.0,0.0
Amadora,AMD,171719,23.79,106,4.455653635981505,6.172875453502525
Amarante,AMT,52131,301.33,36,0.11947034812331996,6.9056799217356275
Amares,AMR,18591,81.95,20,0.24405125076266015,10.757893604432251
Anadia,AND,27542,217.0,65,0.2995391705069124,23.600319512018007
Angra do Heroísmo,AGH,33829,239.0,26,0.1087866108786611,7.685713441130391
Ansião,ANS,11632,176.09,18,0.10222045544891817,15.474552957359009
Arcos de Valdevez,AVV,20729,447.6,24,0.053619302949061656,11.577982536543008
Arganil,AGN,11067,332.84,22,0.0660978247806754,19.87891930965935
Armamar,AMM,5680,117.24,8,0.0682360968952576,14.084507042253522
Arouca,ARC,21154,329.11,33,0.10027042630123667,15.599886546279665
Arraiolos,ARL,6606,683.75,12,0.017550274223034734,18.1653042688465
Arronches,ARR,2789,314.65,2,0.006356268870173209,7.171029042667623
Arruda dos Vinhos,ARV,13983,77.96,14,0.17957927142124167,10.012157619967102
Aveiro,AVR,80880,197.58,98,0.4960016195971252,12.11671612265084
Avis,AVS,3813,605.97,5,0.008251233559417133,13.113034356150013
Azambuja,AZB,21421,262.66,25,0.09518008071270843,11.670790345922226
Baião,BAO,17527,174.53,11,0.06302641379705495,6.276031266046671
Barcelos,BCL,116777,378.9,88,0.23225125362892585,7.535730494874846
Barrancos,BRC,1435,168.42,1,0.005937537109606935,6.968641114982578
Barreiro,BRR,78362,36.39,42,1.1541632316570487,5.359740690640872
Batalha,BTL,15553,103.42,22,0.2127248114484626,14.145180994020446
Beja,BJA,33401,1106.44,62,0.05603557355120928,18.562318493458278
Belmonte,BMT,6204,118.76,9,0.07578309195015157,14.506769825918763
Benavente,BNV,29747,521.38,35,0.0671295408339407,11.765892358893336
Bombarral,BBR,12743,91.29,13,0.14240333004710262,10.201679353370478
Borba,BRB,6428,145.19,16,0.11020042702665472,24.891101431238333
Boticas,BTC,5002,321.96,10,0.031059758976270346,19.99200319872051
Braga,BRG,193333,183.4,124,0.6761177753544165,6.4138041617313135
Bragança,BGC,34580,1173.57,53,0.04516134529682934,15.326778484673222
Cabeceiras de Basto,CBC,15566,241.82,23,0.09511206682656521,14.77579339586278
Cadaval,CDV,13382,174.89,9,0.051460918291497515,6.7254520998356
Caldas da Rainha,CLD,50898,255.69,68,0.26594704525010754,13.360053440213761
Calheta  (Açores),CHT,3441,126.51,0,0.0,0.0
Calheta  (Madeira),CLT,10913,115.65,13,0.1124081279723303,11.912398057362777
Câmara de Lobos,CML,32175,52.15,11,0.2109300095877277,3.4188034188034186
Caminha,CMN,15828,136.52,19,0.13917374743627306,12.004043467273187
Campo Maior,CMR,8045,247.2,9,0.03640776699029127,11.187072715972652
Cantanhede,CNT,34218,390.88,80,0.20466639377814164,23.37950786135952
Carrazeda de Ansiães,CRZ,5494,279.24,15,0.05371723248818221,27.302511831088463
Carregal do Sal,CRS,9048,116.89,21,0.17965608691932586,23.209549071618035
Cartaxo,CTX,23211,158.17,18,0.11380160586710503,7.754943776657619
Cascais,CSC,214134,97.4,230,2.3613963039014374,10.740937917378837
Castanheira de Pera,CPR,2647,66.78,14,0.20964360587002095,52.89006422364941
Castelo Branco,CTB,52272,1438.19,93,0.06466461315959643,17.791551882460972
Castelo de Paiva,CPV,15597,115.01,21,0.1825928180158247,13.464127716868628
Castelo de Vide,CVD,3121,264.91,4,0.015099467743762031,12.81640499839795
Castro Daire,CDR,13753,379.04,19,0.05012663571127057,13.815167599796409
Castro Marim,CTM,6434,300.84,30,0.0997207818109294,46.62729250854834
Castro Verde,CVR,6878,569.44,20,0.0351222253441978,29.07822041291073
Celorico da Beira,CLB,6582,247.22,19,0.07685462341234528,28.866605894864783
Celorico de Basto,CBT,17666,181.07,18,0.09940906831612084,10.189063738254275
Chamusca,CHM,8536,746.01,6,0.008042787630192625,7.029053420805998
Chaves,CHV,37623,591.23,66,0.11163168310133112,17.542460728809505
Cinfães,CNF,17747,239.29,5,0.02089514814660036,2.817377584943934
Coimbra,CBR,140796,319.4,180,0.5635566687539136,12.784454103809768
Condeixa-a-Nova,CDN,16733,138.68,11,0.07931929622151716,6.573836132193868
Constância,CNS,3801,80.37,13,0.1617518974741819,34.201525914233095
Coruche,CCH,17375,1115.72,9,0.008066539992112716,5.179856115107913
Corvo,CRV,386,17.13,1,0.05837711617046118,25.906735751295336
Covilhã,CVL,46453,555.6,48,0.08639308855291576,10.333024777732332
Crato,CRT,3225,398.07,11,0.02763333082121235,34.10852713178294
Cuba,CBA,4374,172.09,5,0.029054564472078562,11.431184270690444
Elvas,ELV,20753,631.29,46,0.07286666983478275,22.165470052522526
Entroncamento,ENT,20140,13.73,33,2.403495994173343,16.385302879841113
Espinho,ESP,31027,21.06,19,0.9021842355175689,6.12369871402327
Esposende,EPS,35145,95.41,27,0.282989204485903,7.682458386683739
Estarreja,ETR,26229,108.17,35,0.3235647591753721,13.344008540165467
Estremoz,ETZ,12688,513.8,15,0.029194239003503313,11.822194199243379
Évora,EVR,53568,1307.08,67,0.05125929552896533,12.507467144563918
Fafe,FAF,48502,219.08,21,0.09585539528939199,4.329718362129397
Faro,FAR,67566,202.57,56,0.27644764772671176,8.288192286061037
Felgueiras,FLG,55883,115.74,39,0.336962156557802,6.978866560492458
Ferreira do Alentejo,FAL,7676,648.25,15,0.023139220979560355,19.541427826993228
Ferreira do Zêzere,FZZ,7803,190.38,16,0.08404244143292362,20.504933999743688
Figueira da Foz,FIG,58982,379.05,69,0.1820340324495449,11.698484283340681
Figueira de Castelo Rodrigo,FCR,5150,508.58,10,0.01966258995634905,19.41747572815534
Figueiró dos Vinhos,FVN,5296,173.44,12,0.06918819188191883,22.658610271903324
Fornos de Algodres,FAG,4398,131.45,8,0.06085964244960061,18.190086402910413
Freixo de Espada à Cinta,FEC,3215,244.14,6,0.024576062914721062,18.662519440124417
Fronteira,FTR,2856,248.6,13,0.05229283990345937,45.51820728291317
Funchal,FNC,105919,76.15,37,0.4858831254103742,3.4932353968598644
Fundão,FND,26521,700.2,39,0.05569837189374464,14.705327853399194
Gavião,GAV,3398,294.59,6,0.02036729013204793,17.657445556209534
Góis,GOI,3806,263.3,5,0.0189897455374098,13.137151865475564
Golegã,GLG,5400,84.32,7,0.08301707779886149,12.962962962962962
Gondomar,GDM,164255,131.86,113,0.8569695131199756,6.879547045752031
Gouveia,GVA,12221,300.61,17,0.05655167825421643,13.910481957286637
Grândola,GDL,13827,825.94,47,0.05690485991718527,33.99146597237289
Guarda,GRD,40155,712.1,61,0.085662126105884,15.191134354376791
Guimarães,GMR,156852,240.95,98,0.40672338659472923,6.24792798306684
Horta,HRT,14356,172.43,9,0.052195093661195846,6.2691557536918365
Idanha-a-Nova,IDN,8340,1416.34,16,0.011296722538373554,19.18465227817746
Ílhavo,ILH,39241,73.48,61,0.8301578660860097,15.544965724624754
Lagoa  (Açores),LAG,14194,45.57,8,0.17555409260478386,5.636184303226716
Lagoa  (Algarve),LGA,23718,88.25,67,0.7592067988668555,28.248587570621467
Lagos,LGS,33514,212.99,69,0.32395887130851214,20.588410813391416
Lajes das Flores,LGF,1408,69.59,0,0.0,0.0
Lajes do Pico,LGP,4342,154.35,1,0.006478781988986071,2.3030861354214647
Lamego,LMG,24348,165.42,21,0.12694958287994199,8.62493839329719
Leiria,LRA,128640,108.05,143,1.3234613604812586,11.11629353233831
Lisboa,LSB,544851,100.05,126,1.2593703148425788,2.312558846363501
Loulé,LLE,72373,763.67,171,0.22391870834260874,23.62759592665773
Loures,LRS,201646,167.24,151,0.9028940444869648,7.488370709064401
Lourinhã,LNH,26261,147.17,34,0.2310253448393015,12.946955561479
Lousã,LSA,17012,138.4,27,0.19508670520231214,15.871149776628263
Lousada,LOU,47401,96.08,73,0.7597835137385512,15.400518976392904
Mação,MAC,6417,399.98,8,0.0200010000500025,12.466884837151317
Macedo de Cavaleiros,MCD,14252,699.14,27,0.038618874617387076,18.944709514454114
Machico,MCH,19167,68.31,28,0.4098960620699751,14.608441592320133
Madalena,MAD,6332,149.08,9,0.060370270995438687,14.213518635502211
Mafra,MFR,86523,291.66,86,0.2948638826030309,9.93955364469563
Maia,MAI,134959,82.99,83,1.000120496445355,6.150015930764158
Mangualde,MGL,18294,219.26,44,0.20067499771960232,24.051601618016836
Manteigas,MTG,2909,121.98,2,0.016396130513198885,6.8752148504640775
Marco de Canaveses,MCN,49563,201.89,41,0.20308088563078905,8.272299901135927
Marinha Grande,MGR,39033,187.25,40,0.2136181575433912,10.247739092562703
Marvão,MRV,3023,154.9,3,0.019367333763718526,9.92391663910023
Matosinhos,MTS,172669,62.42,95,1.5219480935597565,5.501856152523035
Mealhada,MLD,19358,111.0,29,0.26126126126126126,14.980886455212316
Mêda,MED,4632,286.05,11,0.03845481559167978,23.74784110535406
Melgaço,MLG,7776,238.25,11,0.046169989506820566,14.146090534979425
Mértola,MTL,6205,1292.87,4,0.0030938918839481157,6.446414182111201
Mesão Frio,MSF,3555,26.65,4,0.150093808630394,11.251758087201125
Mira,MIR,12126,124.03,18,0.1451261791502056,14.844136566056408
Miranda do Corvo,MCV,12014,126.38,28,0.22155404336129136,23.30614283336108
Miranda do Douro,MDR,6466,487.18,12,0.024631553019417874,18.558614290133
Mirandela,MDL,21389,658.96,36,0.05463154060944518,16.831081396979755
Mogadouro,MGD,8304,760.65,18,0.023663971603234076,21.67630057803468
Moimenta da Beira,MBR,9411,219.97,15,0.06819111697049597,15.938795027095951
Moita,MTA,66326,55.26,28,0.5066956207021354,4.221572234116334
Monção,MNC,17829,211.31,18,0.08518290663006957,10.095911155981828
Monchique,MCQ,5465,395.3,5,0.01264862130027827,9.149130832570906
Mondim de Basto,MDB,6416,172.08,5,0.029056252905625288,7.793017456359102
Monforte,MFT,2990,420.25,5,0.01189767995240928,16.722408026755854
Montalegre,MTR,9279,805.46,20,0.024830531621682018,21.554046772281495
Montemor-o-Novo,MMN,15803,1232.97,18,0.01459889535025183,11.390242359045752
Montemor-o-Velho,MMV,24587,228.96,22,0.09608665269042627,8.947817952576564
Montijo,MTJ,55732,348.62,31,0.08892203545407606,5.562334027129836
Mora,MOR,4128,443.95,10,0.022525059128280213,24.224806201550386
Mortágua,MRT,8960,251.18,17,0.06768054781431643,18.973214285714285
Moura,MRA,13267,958.46,5,0.005216701792458736,3.768749528906309
Mourão,MOU,2353,278.63,3,0.010766966945411478,12.749681257968552
Murça,MUR,5249,189.37,12,0.06336800971642816,22.861497428081538
Murtosa,MRS,10488,73.09,43,0.5883157750718292,40.999237223493516
Nazaré,NZR,14889,82.43,31,0.37607667111488535,20.820740143730273
Nelas,NLS,13124,125.71,39,0.31023784901758017,29.71654983236818
Nisa,NIS,5951,575.68,7,0.012159533073929963,11.762728953117122
Nordeste,NRD,4373,101.51,9,0.08866121564377893,20.580836954036133
Óbidos,OBD,11940,141.55,42,0.29671494171670787,35.175879396984925
Odemira,ODM,29523,1720.6,26,0.015111007787980938,8.806693086745927
Odivelas,ODV,148156,26.54,59,2.2230595327807086,3.9822889386862497
Oeiras,OER,171802,45.88,146,3.182214472537053,8.498154852679246
Oleiros,OLR,4900,471.09,9,0.019104629688594537,18.36734693877551
Olhão,OLH,44639,130.86,31,0.23689439095216258,6.944600013441161
Oliveira de Azeméis,OAZ,66212,161.1,92,0.5710738671632527,13.894762278741013
Oliveira de Frades,OFR,9510,147.45,30,0.2034587995930824,31.545741324921135
Oliveira do Bairro,OBR,23150,87.0,23,0.26436781609195403,9.935205183585314
Oliveira do Hospital,OHP,19421,234.52,29,0.12365683097390413,14.932289789403223
Ourém,ORM,44576,416.68,49,0.11759623692041854,10.992462311557789
Ourique,ORQ,4842,663.31,7,0.010553135034900726,14.45683601817431
Ovar,OVR,54976,147.7,57,0.38591740013540965,10.368160651920839
Paços de Ferreira,PFR,55623,70.99,76,1.0705733201859418,13.663412617082862
Palmela,PLM,68879,465.12,54,0.11609907120743033,7.839835073099203
Pampilhosa da Serra,PPS,4067,396.46,4,0.010089290218433133,9.835259404966806
Paredes,PRD,84414,156.76,58,0.36999234498596584,6.870898192242993
Paredes de Coura,PCR,8636,138.19,12,0.08683696360083942,13.895321908290875
Pedrógão Grande,PGR,3392,128.75,9,0.06990291262135923,26.533018867924525
Penacova,PCV,13119,216.73,23,0.10612282563558345,17.531824071956706
Penafiel,PNF,69687,212.24,57,0.26856388993592156,8.179430883809031
Penalva do Castelo,PCT,7340,134.34,11,0.08188179246687509,14.986376021798366
Penamacor,PNC,4764,563.71,6,0.010643770733178407,12.594458438287154
Penedono,PND,2731,133.72,9,0.06730481603350284,32.95496155254486
Penela,PNL,5443,132.49,14,0.10566835232847761,25.721109682160574
Peniche,PNI,26419,77.55,40,0.5157962604771116,15.14061849426549
Peso da Régua,PRG,14553,94.86,14,0.14758591608686486,9.62000962000962
Pinhel,PNH,8099,484.52,27,0.05572525385948981,33.337449067786146
Pombal,PBL,51178,626.0,53,0.08466453674121406,10.356012349056236
Ponta Delgada,PDL,67287,231.9,50,0.21561017680034497,7.4308558859809475
Ponta do Sol,PTS,8367,46.19,5,0.1082485386447283,5.975857535556352
Ponte da Barca,PTB,11058,182.11,13,0.071385426390643,11.756194610236934
Ponte de Lima,PTL,41204,320.25,39,0.12177985948477751,9.465100475681972
Ponte de Sor,PSR,15253,839.71,11,0.01309976063164664,7.2116960597915165
Portalegre,PTG,22368,447.14,43,0.09616674866932057,19.223891273247496
Portel,PRL,5745,601.01,16,0.026621853213756843,27.8503046127067
Portimão,PTM,59896,182.06,114,0.6261671976271559,19.032990516895953
Porto,PRT,231962,41.42,41,0.9898599710284887,1.7675308886800425
Porto de Mós,PMS,23211,261.83,43,0.16422869801015927,18.525699022015424
Porto Moniz,PMZ,2521,82.93,3,0.03617508742312794,11.90003966679889
Porto Santo,PST,5158,42.48,11,0.25894538606403017,21.326095385808454
Póvoa de Lanhoso,PVL,21787,134.65,31,0.23022651318232454,14.228668472024601
Póvoa de Varzim,PVZ,64320,82.81,38,0.4588817775630962,5.907960199004974
Povoação,PVC,5796,110.3,2,0.01813236627379873,3.450655624568668
Praia da Vitória,VPV,19482,162.29,27,0.16636884589315423,13.858946720049275
